term,tag
retch,VB
reversibility,NN
renfro,NP
relationships,NNS
replacements,NNS
remodeled,VBD
refunding,NN
regal,NNP
restock,VB
regrets,NNS
rescue,NN
retail,JJ
regional,JJ
replication,NN
replaces,VBZ
rearguard,NN
reforms,NNS
reiterating,VBG
recollections,NNS
reciprocal,JJ
reichenberg,NP
relentlessly,RB
relict,NN
remoteness,NN
religionists,NNS
revolution's,NN$-TL
reflectance-measuring,JJ
resin-saturated,JJ
resignations,NNS
redistributed,VBN
relieving,VBG
revolves,VBZ
revolver,NN
revellers,NNS
reconstruction,NN
resilient,JJ
revolved,VBD
reviving,VBG
repugnance,NN
reporter,NN
revels,NNS
residual,JJ
redeploy,VB
remarried,VBD
reported,VBN
represented,VBD
red-and-white,JJ
rests,VBZ
reactivated,VBN
reports,NNS
reckoned,VBN
regimentation,NN
resurrected,VBN
recession-inspired,JJ
reagan,NNP
replace,VB
remnant,NN
reticulate,JJ
replacement-car,NN
reserpine,NN
recommend,VB
reasserting,VBG
receipts,NNS
repairing,VBG
relay,NN
relax,VB
reign,NN
regrouping,NN
reversible,JJ
regalia,NNS
refusing,VBG
revenues,NNS
relativistic,JJ
reviewing,VBG
reprove,VB
recovery,NN
recovers,VBZ
remonstrated,VBD
resignation,NN
recompense,NN
replacing,VBG
reconciled,VBN
reames,NNP
reconciles,VBZ
revved,VBD
receding,VBG
revolt,NN
record-tying,JJ
remonstrate,VB
reforming,VBG
restriction,NN
renville,NP
renaissance-style,JJ
responsive,JJ
reformers,NNS
replicating,VBG
refectories,NNS
rescheduled,VBN
revenue,NN
reentered,VBD
rebutted,VBD
repairmen,NNS
regrouped,VBD
renunciation,NN
repulsive,JJ
realtors,NNS-TL
rental,JJ
represents,VBZ
relishes,NNS
renditions,NNS
reasonably,RB
reguli,NNS
reconditioning,VBG
reasonable,JJ
redding,NP
reputedly,RB
recognizable,JJ
revisions,NNS
redressed,VBN
restricted,VBN
research-staff,NN
revolting,JJ
re,NN
remorse,NN
reappraisals,NNS
revolving,VBG
resistor,NN
rehearsed,VBN
re-created,VBN
resume,VB
revenge,NN
resinlike,JJ
re-creates,VBZ
reinstatement,NN
renee,NNP
recovering,VBG
refugee,NN
resonable,JJ
renew,VB
reserving,VBG
repealed,VBN
recite,VB
render,VB
researcher,NN
researches,NNS
reassure,VB
restrict,VB
redefinition,NN
reintroduces,VBZ
rewritten,VBN
reportorial,JJ
rejects,VBZ
recruiting,VBG
reuben,NP
reparation,NN
rewards,NNS
rectifier,NN
rejected,VBN
rectified,VBN
rebuff,NN
requesters,NNS
reclining,VBG
regulator,NN
readjusted,VBN
rear-guard,NN
recheck,VB
recommence,VB
rewrite,VB
respecting,VBG
reuveni,NP
reassert,VB
refreshingly,QL
regulate,VB
relatively,RB
rechartering,NN
realm,NN
relayed,VBN
responsible,JJ
reactivity,NN
responsibly,RB
reharmonization,NN
reelection,NN
replenished,VBD
reverberated,VBD
regular,JJ
reverence,NN
retaining,VBG
reimbursement,NN
retrogressive,JJ
regulative,JJ
regards,NNS
reemerged,VBD
registrants,NNS
reprinted,VBD
reserve,NN
renting,VBG
reactor,NN
reductions,NNS
reorganize,VB
retire,VB
reinstitution,NN
rediscovery,NN
religions,NNS
reissue,NN
respectfully,RB
rector,NP
resisting,VBG
resemblance,NN
refreshment,NN
reverses,VBZ
rectangle,NN
remotest,JJT
reverently,RB
rejoicing,VBG
remarry,VB
reversal,NN
report,NN
reconstruct,VB
relish,VB
rebirth,NN
reincarnated,VBD
release,NN
reposed,VBN
respond,VBP
reread,VB
reference,NN
reconvened,VBN
resist,VB
result,NN
red-necked,JJ
resigned,VBD
resource-use,NN
revenuers,NNS
requisites,NNS
redistricting,VBG
researchable,JJ
restricting,VBG
received,VBN
retrovision,NN
refinement,NN
resistant,JJ
regattas,NNS
red-blooded,JJ
recoilless,JJ
receives,VBZ
receiver,NN
