term,tag
sci,NNP
scooped,VBD
scratch,NN
scotty's,NP$-TL
scalar,JJ
scouted,VBD
scheming,VBG
scr,NN
scowling,VBG
scypher,NNP
scrawny,JJ
schooner,NN
scoreboard,NN
scout,NN
scour,VB
scapegoats,NNS
screaming,VBG
scandalizing,JJ
school,NNP
scandinavia,NP
scholar,NN
schnabel-pro,NP
science,NN
scrapes,VBZ
scribbled,VBN
scarcity,NN
scrapings,NNS
sciatica,NN
scraped,VBD
schlesinger,NP
scaffold,NN
schism,NN
schillinger,NP
scallops,NNS
scenery,NN
scampering,VBG
scepticism,NN
screams,NNS
scoffing,NN
scrapped,VBN
sculptured,VBN
screech,NN
schoolgirlish,JJ
sculptural,JJ
schott,NP
scales,NNS
schooling,NN
screens,NNS
scoffed,VBD
schilling,NP
scaffolding,NN
scops,NNS
scenarios,NNS
scope,NN
school-research,JJ
scratched,VBD
scotia,NNP
schlemmer,NNP
scratches,NNS
schweiz,NNP
schoolboys,NNS
sculptor,NN
scooted,VBD
scenics,NNS
science's,NN$
scan,NN
scott's,NP$
schoolgirl,NN
scarface,NP
schoolbooks,NNS
scheduling,VBG
scar,NN
scrounging,VBG
scapulars,NNS
scoundrels,NNS
scolding,VBG
scrivener,NN-TL
schapiro,NP
scornfully,RB
schuman's,NP$
schleiermacher,NP
schultz,NP
scion,NN
screenwriters,NNS
schoolchildren,NN
scalloped,VBN
scrambling,VBG
schubert-beethoven-mozart,NP
scrimmaged,VBD
sculptures,NNS
scourge,NN
scoreboards,NNS
sclerosis,NN
scoffs,VBZ
scoop,VB
scaring,VBG
schoolmates,NNS
schwartz,NP
scammers,NNS
schuylkill,NP
scientist,NN
scott,NNP
sceneries,NNS
schoolhouse,NN
scoring,NNP
schone,FW-JJ-TL
school-district,NN
scot,NP
scop,NN
schmidt,NNP
schenk,NP
scotty,NP
screw-loose,JJ
schools,NNS
schoolteacher,NN
scenic,JJ
scratchiness,NN
schroder,NNP
schemes,NNS
scanty,JJ
scratching,VBG
schoolmate,NN
scot-free,JJ
scribe,NN
scarcely-tapped,JJ
scoreless,JJ
schmalma,NP
schnabel,NP
scriptural,JJ
scimitar,NN
scopes,NNS
schang,NP
scoped,JJ
scarred,VBN
schweitzers,NPS
scary,JJ
sclerotic,JJ
scrupulosity,NN
scars,NNS
schnapps,NN
scrounge,VBP
schelling,NP
schemata,NNS
scouts,NNS
scare,VB
scarf,NN
scalding,VBG
schubert,NP
scandalized,VBN
scene,NN
scramble,NN
scissors,NNS
scent,NN
scathing,VBG
script,NN
scampini,NP
schaffner,NP
scant,JJ
scholastically,RB
scarborough,NP
scheme,NN
schema,NN
scimitar-wielding,JJ
scurvy,NN
schweizer,NP
schubert's,NP$
scout's,NN$
scraping,VBG
scenes,NNS
scabbard,NN
screeching,VBG
scaffoldings,NNS
schooled,VBN
scans,VBZ
sculpture,NN
scanners,NNS
screenplay,NN
schuyler's,NP$
scandinavians,NPS
scorecard,NN
screws,NNS
scotchman,NP
screw,NN
schnabel's,NP$
scriptures,NNS-TL
scrawled,VBD
scotland,NNP
sciences,NNS-TL
schoolmaster,NN
schematically,RB
schmidl-seeberg,NP
scooping,VBG
scimitars,NNS
screenings,NNS
scarify,VB
scabrous,JJ
scripts,NNS
schoolwork,NN
scavenging,VBG
screechy,JJ
scrambled,VBD
schulz,NP
scotch,NP
scream,VB
sculpted,VBN
scissoring,NN
sceptical,JJ
scorched,VBD
scattered,VBN
scarce,JJ
scorcher,NN
scatterbrained,JJ
scurrilous,JJ
scuttling,VBG
screening,NN
scripture,NN
scrubbing,NN
scuff,VB
scientists,NNS
scotch-and-soda,NP
sculptor's,NN$
scudding,VBG
schlieren,NP
scots,NPS
scrumptious,JJ
scrubbed,VBD
scanning,VBG
scours,NN
screeched,VBD
schizophrenic,JJ
scholastic,NNP
scandinavian,JJ
scoured,VBN
scrutinizing,VBG
schwarzkopf,NP
scrap,NN
scathingly,QL
score,NN
schraffts,NP
scorn,NN
scobee-frazier,NP-TL
scooting,VBG
screwball,NN
schumann's,NP$
schopenhauer,NP
screen,NN
scheherazade,NP
school-improvement,JJ
scuttle,VB
screeches,NNS
scripps,NNP
schrunk,NP
scarsdale,NP
scrutin,FW-NN
scams,NNS
scabbed,VBN
scairt,VBN
scientifique,FW-JJ-TL
scherzo,NN
scottish,JJ
scented,VBN
screened,VBD
schiele's,NP$
scions,NNS
schoolroom,NN
schutz,NP
schoolgirls,NNS
scrutiny,NN
schnabelian,JJ
scrupulously,RB
schley,NP
scowled,VBD
schoolmaster's,NN$
schlek,NP
scatter,NN
scrooge-like,JJ
schweitzer,NP
schaeffer,NP
scavenger,NN
school-board,NN
scientifically,RB
scannell,NNP
schematic,JJ
scrapiron,NP-TL
schwarzen,FW-JJ
scientifically-trained,JJ
scorned,VBN
scholars,NNS
screenland,NN
scarcely,RB
scenario,NN
sculptors,NNS
scholarship,NN
scouring,VBG
schoolers,NNS
schnooks,NNS
scrupulous,JJ
schaack,NP
scholarly,JJ
schonberg's,NP$
scattering,VBG
scowcroft,NNP
schockler,NP
science-fiction,NN
scrapbook,NN
scoundrel,NN
scheduled,VBN
schedules,NNS
scholastica,NP
schmitt,NP
scholastics,NNS
scared,JJ
scurried,VBD
scuffle,NN
scrimmage,NN
scapin,NP
scatters,VBZ
scandal,NN
school's,NN$
scrim,NN
scandals,NNS
scald,VB
scholarships,NNS
scala,NP
scalp,NN
screwed,VBD
schaefer,NNP
scientific,JJ
schedule,NN
schooldays,NNS
scotch-irish-scandinavian,NP
scaled,VBN
scribing,VBG
scattergun,NN
scraggly,JJ
scornful,JJ
scholar-businessman,NN
scores,NNS
schwada,NP
schuyler,NP
screamed,VBN
scalded,VBN
scherer,NNP
schoolmarm,NN-TL
schramm,NP
schmalzried,NP
scintillating,VBG
schiele,NP
schonberg,NP
screvane,NP
scotian,JJ-TL
scotchgard,NP
schoolboy,NN
scolatti,NP
scarlet,JJ-TL
scanned,VBD
scuttled,VBD
scrutinized,VBD
school-age,NN
scrape,VB
school-leaving,JJ
scraps,NNS
scored,VBD
scapegoat,NN
scrub,VB
script's,NN$
schuman,NP
scale,NN
schwab,NNP
school-sponsored,JJ
scarecrowish,JJ
scratchy,JJ
schopenhauer's,NP$
scouting,VBG
