term,tag
secondly,RB
severable,JJ
semantic,JJ
self-pacification,NN
sergei,NP
seals,NNS
sedentary,JJ
settlement,NN
self-reliant,JJ
seemed,VBD
serenissimus,NP
self-pity,NN
self-consuming,JJ
segments,NNS
serloin,NN
senator's,NN$
send,VB
seven-shot,JJ
sexualized,VBN
semenov,NP
self-esteem,NN
sesshu,NP
sent,VBD
seized,VBD
sequins,NNS
self-will,NN
seemingly,RB
sellers,NNS
self-consciousness,NN
seedbed,NN
servicing,NN
self-proclaimed,JJ
second-stage,NN
semi-city,NN
securely,RB
severely,RB
sentimental,JJ
sen.,NNP
semi-nude,JJ
sedimentary,JJ
settle,VB
sexton,NN-TL
semi-major,JJ
selkirk,NP
severed,VBN
settlers,NNS
sewage,NN
self-righteousness,NN
seven-word,JJ
seasoning,NN
semi-processed,JJ
sensation,NN
seven-inch,JJ
self-contained,JJ
second,JJ
secilia,NNP
seeley,NP
sevigli,NP-TL
self-served,VBD
self-certainty,NN
sentimentalize,VB
self-deluded,JJ
seven-thirty,CD
semicircular,JJ
self-sufficient,JJ
seventy-four,CD
self-pitying,JJ
section,NN
selected,VBN
severalty,NN
sensitive-area,NN
secant,NN
self-defeating,JJ
self-preservation,NN
selfeffacing,JJ
seeks,VBZ
set's,NN$
sentient,JJ
seeping,VBG
self-exile,NN
selective,JJ
second-hand,NN
separation,NN
second-rate,JJ
sexy,JJ
settling,VBG
sending,VBG
search,NN
seq.,FW-VBG
seven-year,JJ
septum,NN
settler,NN
settles,VBZ
semester's,NN$
seedcoats,NNS
seed-pods,NNS
sealing,VBG
settled,VBD
servanda,FW-VBG
secure,VB
servicemen,NNS
semiconductors,NNS
sextet,NN-TL
semester,NN
seashore,NN
sewers,NNS
seventeenth,OD
senders,NNS
sermon,NN
segregating,VBG
senile,JJ
september-october,NP
seamless,JJ
secessionist,NN
semper,FW-RB
seminole,NP
sermons,NNS
separated,VBN
senesac,NP
seismograph,NN
segregationist,NN
sessions,NNS
semi-circle,NN
self-criticism,NN
separates,VBZ
sequoia,NP-TL
self-analysis,NN
seebohm,NP
season's,NN$
self-styled,JJ
