term,tag
sitters,NNS
sicilian,JJ
similarity,NN
single-step,NN
six-ton,JJ
sigmund,NNP
simon,NNP
sizova,NP
sight-seeing,VBG
sinking,VBG
sitting,VBG
simmonsville,NP
sierras,NPS
sighed,VBD
sincerely,RB
singularly,RB
sixty-five-mile,JJ
sidewalk,NN
sitwell,NP
sixty-five,CD
sickish,JJ
side-stepped,VBD
sigh,NN
sign,NN
singsonged,VBD
single-a,JJ
situated,VBN
simeon,NNP
sittings,NNS
sidled,VBD
sixty-eight,CD
sinkt,FW-VBZ
simultaneously,RB
sinuses,NNS
simon's,NP$-TL
sins,NNS
signalizes,VBZ
sink,VB
six-gallon,JJ
sing,VB
sind,FW-BER
sine,NN
silica-glass,NN
siamese,JJ
single-lot,JJ
simultaneous,JJ
sino-u.s.,JJ
simpleton,NN
sidearms,NNS
sicily,NP
sienna,NN
sirs,NNS
sister's,NN$
simba,NP
singing,VBG
sitter,NN
six-foot,JJ
sighted,VBN
simpliciter,FW-RB
six-packs,NNS
single-handedly,RB
signpost,NN
sihanouk,NP
six-point,JJ
six-inch,JJ
silesia,NP
sieben,FW-CD
sizzled,VBD
single-spaced,JJ
situs,NN
sinusoidal,JJ
sidemen,NNS
signers,NNS
sis,NP
sir,NNP
siren,NN
sip,NN
sidney,NP
silos,NNS
sired,VBN
six,CD
sidewalks,NNS
sic,FW-RB
sixties,NNS-TL
sibylla's,NP$
sie,FW-PPSS
significance,NN
sih,NN
sin,NN
simplicity,NN
singular,JJ
sin-ned,VBD
side's,NN$-TL
sideline,NN
sickroom,NN
siberia,NP
sioux,NPS
sit,VB
sidelong,JJ
sickening,VBG
si,NNP
sibylla,NP
sixty-nine,CD
sickly,JJ
sinning,VBG
side-conclusions,NNS
signs,NNS
sistine,JJ-TL
sinus,NN
sicurella,NP-TL
sinuously,RB
single-color,NN-HL
sid,NP-TL
sit-in,NN
sixth-grade,NN
singularity,NN
sixteen,CD
sinfulness,NN
silver,NN
sinners,NNS
six-thirty,CD
side-arm,NN
simonson's,NP$
sing-song,NN
side,NN
signing,VBG
sieux,NPS-TL
sit-ins,NNS
significantly,RB
six-bottle,JJ
sidelight,NN
sifted,VBD
silone,NP
silky,JJ
since,IN
sighing,VBG
sibilant,JJ
silke,NN
simile,NN
siege,NN
sideways,RB
side-effects,NNS
silicate,JJ
silhouetted,VBN
sicker,JJR
silicon,NNP
silhouettes,NNS
signature,NN
sidewinder,NN
simplifies,VBZ
single-seeded,JJ
signboard,NN
sit-down,NN
simplified,VBN
singling,VBG
size,NN
silent,JJ
similarly,RB
sidle,VB
single-shot,NN
silvas,FW-NNS
sixteenth,OD
sienkiewicz,NP
sixty-eighth,OD-TL
siciliana,FW-JJ-TL
sizable,JJ
signaling,VBG
simulate,VB
simmered,VBN
sicilians,NPS
simple-seeming,JJ
sinless,JJ
six-four,CD
siding,NN
siecles,FW-NNS-TL
silly,JJ
siecle,FW-NN-TL
similitude,NN
sincerity,NN
sidewise,RB
silhouette,NN
silvers,NP
silvery,JJ
sinatra,NP
siesta,NN
silicates,NNS
sisk,NP
signifying,VBG
singles,VBZ-HL
six-month,JJ
simplify,VB
sightseers,NNS
significant,JJ
singled,VBN
singer,NN
simplicities,NNS
simonelli,NP
sixteen-year-old,JJ
silver-gray,JJ
singed,VBD
sinner,NN
sigma,NP
silencing,VBG
signatures,NNS
sisters-in-law,NNS
sixty-two,CD
sibly,NP
simak's,NP$
sideboard,NN
situations,NNS
simpson's,NP$
signboards,NNS
sierra,NNP
silas,NP
sipping,VBG
simplistic,JJ
side-step,VB
silk,NN
sill,NN
silo,NN
singapore,NNP
sixties',NNS$-HL
singers',NNS$
silently,RB
signify,VB
siva,NP
sibley,NP
siebern,NP
sixth-sense,NN
significants,NNS-TL
sites,NNS
simplest,JJT
simms,NP
sirens,NNS
sirinjani,NP
silicone,NN
simple-minded,JJ
sigler,NNP
signaled,VBD
sino-soviet,NP
singers,NNS
sipped,VBD
siegal,NNP
siddo,NP
simple,JJ
silver-painted,JJ
simply,RB
sidak,NNP
sinuousness,NN
sieve,NN
silvio,NP
sixty-seven,CD
sidesteps,VBZ
sideboards,NNS
six-dollar,JJ
single-barrel,NN
silenced,VBN
sievers,NP
silences,NNS
sigmen,NP
situation,NN
siti,NNP
sizeable,JJ
sincere,JJ
site,NN
sibyls,NPS
sits,VBZ
