term,tag
slugged,VBD
slope,NN
sleeps,VBZ
sluggishness,NN
sluggers,NNS
slouch,NN
sleepy,JJ
slitters,NNS
sleek,JJ
sleet,NN
slung,VBD
sleep,NN
slanderer,NN
slugger,NN
sleepily,RB
slanting,VBG
slimmer,JJR
slot,NN
slow,VB
slop,VB
sleepy-eyed,JJ
sloe,NN
slave-laborers,NNS
slits,NNS
slo-flo,NP-TL
slob,NN
slowest,JJT
slimly,RB
slow-moving,JJ
slothful,JJ
sloganeering,VBG
slipstream,NN
slate,NN
slope's,NN$
sloppy,JJ
slyness,NN
slacks,NNS
slanderous,JJ
slippage,NN
slave-owners,NNS
slats,NNS
slack,JJ
sleuthing,NN
slipper,NN
slicker,NN
slapstick,NN
sleeve,NN
sleepless,JJ
slavery,NN
slugs,NNS
slide,NN
slowly-mending,JJ
slouches,VBZ
slickers,NNS
slimed,VBN
slings,NNS
slow-firing,JJ
slower,JJR
sloop,NN
sleight,NP
slavered,VBD
slowdown,NN
slopped,VBD
sludge,NN
slowed,VBN
slow-bouncing,JJ
slashing,VBG
slurries,NNS
slick-headed,JJ
slumped,VBN
slow-scrambling,JJ
slew,NN
slumbered,VBD
slice,NN
slotted,VBN
slaughtering,VBG
sleepwalker,NN
slipping,VBG
slapped,VBN
slash,VB
sloan,NNP
slow-baked,JJ
sluggish,JJ
sliding,VBG
slopping,VBG
slavic,JJ
slovenly,JJ
slight,JJ
slaying,NN
slingshot,NN
slaughter,NN
slated,VBN
sloshed,VBD
slogans,NNS
sluggishly,RB
sleek-headed,JJ
slum,NN
slater,NP
slug,VB
slatted,JJ
slitter,NN
sloanaker,NP
sluiced,VBD
sluicing,VBG
slender,JJ
slocum,NP
sluices,NNS
slippers,NNS
slights,NNS
slightly,RB
slackened,VBN
slinging,VBG
slipped,VBD
slices,NNS
sliced,VBD
slavish,JJ
sloane,NP
slivery,JJ
slots,NNS
slowdowns,NNS
sledding,NN
sleeper's,NN$
slaked,VBN
slenderer,JJR
slurped,VBD
slept,VBD
slants,NNS
slant-wise,RB
slowly,RB
slough,NP
slopes,NNS
slaughtered,VBN
slips,NNS
sloppily,RB
slump,NN
slide-lock,NN
slides,VBZ
sleeves,NNS
slowing,NN
slashed,VBD
slender-waisted,JJ
slogan,NN
sly,JJ
slyly,RB
slaps,VBZ
slumber,NN
sleepers,NNS-TL
sluicehouse,NN
slippery,JJ
slowness,NN
slanted,VBN
slapping,VBG
sladang,NN
slightest,JJT
slashes,NNS
slid,VBD
sloan's,NP$
slovenliness,NN
slat,NN
slim,JJ
slightly-smoking,JJ
slap,VB
sleeping,VBG
sluice,NN
slit,VB
slam,NN
slugging,VBG
slater's,NP$
slip,VB
slave's,NN$
slow-growing,JJ
slab,NN
slim-waisted,JJ
sleeplessly,RB
slash-mouthed,JJ
slighter,JJR
slammed,VBN
sleeper,NN-TL
slamming,VBG
slash-b,NP
slackening,VBG
sloping,VBG
slick,JJ
slave,NN
sling,NN
slow-acting,JJ
slenczynka,NP
slant,NN
slavs,NPS
sleep-wakefulness,NN
slums,NNS
slang,NN
slanders,NNS
slocum's,NP$
slacking,VBG
slaves,NNS
sl,NN
