term,tag
snorkle,NN
snugly,RB
snug-fitting,JJ
snickered,VBD
snarled,VBD
sneaking,VBG
snow's,NP$
snack,NN
snowing,VBG
snag,VB
snappy,JJ
snobbish,JJ
snap,VB
sniper,NN
snobs,NNS
snuffed,VBD
snowball,NN-TL
sniping,NN
snake,NN
snapdragons,NNS
snare,NN
snowflakes,NNS
sneezed,VBN
sniffing,VBG
snug,JJ
snort,NN
snails,NNS
snapback,NN
snail's,NN$
snatches,NNS
sneaker,NN
snakes,NNS
snodgrass,NP
snapshots,NNS
snaked,VBD
sneaked,VBD
snatched,VBN
snoring,VBG
snuggled,VBD
snow-white,JJ
snow-covered,JJ
snake-rail,NN
sneakers,NNS
snuffboxes,NNS
snorted,VBD
snared,VBN
snake-like,JJ
sneed,NP
snap-in,JJ
snivelings,NNS
snapper,NN
sneer,NN
snyder's,NP$
sniff,VB
snubbed,VBN
snowstorm,NN
snobbishly,RB
snopes,NP
sneezing,VBG
sniffle,NP
snowfall,NN
snapped,VBN
sneering,VBG
snubbing,VBG
sniper's,NN$
snoop,VB
sneaky,JJ
snyder,NP
sneaks,VBZ
snags,NNS
snook,NP
snatching,VBG
snowy,JJ
snips,NNS
snows,NNS
snatch,VB
sniggered,VBD
snellville,NP
snazzy,JJ
snacks,NNS-HL
sniffed,VBD
snaking,VBG
snuck,VBD
sneers,NNS
snippy,JJ
snobbery,NN
snow,NN
snuffer,NN
snout,NN
snelling,NP-TL
snick,NN
snead,NP
snail,NN
snakestrike,NN
sneak,VB
snp,NN
snow-fence,NN
snarling,VBG
snooping,VBG
snob-clannish,JJ
snapping,VBG
snowballs,NNS
sneered,VBD
snowed,VBD
snug-grip,NP
