term,tag
splicing,NN
splashing,VBG
splitting,VBG
spacecraft,NN
spiders,NNS
spidery,JJ
spector,NP
sputtered,VBD
special-interest,NN
speeded,VBD
sparkling,VBG
spearhead,VB
sputter,VB
spruced,VBN
sped,VBD
sprains,NNS
sparkplugs,NNS
sponsors,NNS
spate,NN
splinting,NN-TL
spoon,NNP
spaniel's,NN$
spook,VBP
spats,NNS
spoof,NN
speidel,NP-TL
specialties,NNS
spencerian,JJ
speculation,NN
spiritual,JJ
species-dependent,JJ
spanish-american,JJ-TL
splashed,VBD
spaghetti,NNP
spectral,JJ
spleen-crushing,JJ
spouses,NNS
spiro,NNP
specification,NN
spire,NN
spokesman,NN
spoilables,NNS
spec.,NN-TL-HL
specialist,NN
splinter,NN
spacing,NN
splice,NN
sportsmen's,NNS$-TL
speeches,NNS
spokane,NP
spontaneous,JJ
spiced,VBN
sprague,NP
sprouted,VBD
speech-making,NN
spotty,JJ
spades,NNS
spatially,RB
spooky,JJ
specifics,NNS
spaciousness,NN
sporadic,JJ
spurdle,NP
spoke,VBD
sports,NNS
spackle,VB
splash,NN
spike,VB
spacers,NNS
spoils,NNS
sports-oriented,JJ
spoilage,NN
spencer's,NP$
specializes,VBZ
splinters,NNS
splintery,JJ
specialized,VBN
spy,NN
speculatively,RB
spenders,NNS
spalding,NP
spying,VBG
sphere,NN
spruce,NN
spa,NN
spanning,VBG
species,NN
spinnability,NN
spectator-type,JJ
speedboat,NN
spreads,NNS
spurious,JJ
speeding,VBG
sprig,NN
speaks,VBZ
springfield,NNP
sprinkle,NN
specifications,NNS
spacesuits,NNS
spot,NN
sparkled,VBD
spectacularly,RB
sp.,NN-HL
spectrometer,NN
spelling,VBG
spouted,VBD
sprinkel,NP
splendid,JJ
spout,NN
spectra,NNS
spectre,NN
spray-dried,JJ
specifying,VBG
spiraled,VBD
sprout,VB
spinrad,NP
sponging,NN
spirituals,NNS-TL
spider-leg,NN
splurge,NN
sprays,NNS
spellbound,VBN
spacious,JJ
speech,NN
spear-throwing,JJ
sport-utility,JJ
spell,NN
speechless,JJ
speculate,VB
spandrels,NNS
spumoni's,NP$
spinco,NP
spotless,JJ
spinneret,NN
spokes,NNS
spanish,NNP
spittle,NN
spider,NN
sportsman,NN
speculated,VBD
sponsor,NN
speculators,NNS
spahn,NP
special,JJ
splashy,JJ
space,NN
speedometer,NN
spuyten,NP
sparkle,NN
spaniel-like,JJ
spring-joints,NNS
spavined,JJ
sparked,VBD
sparling's,NP$
spies,NNS
splashes,NNS
spread-eagled,VBN
sphynxes,NNS
spill,VB
spike-haired,JJ
speckled,VBN
speedy,JJ-TL
speeds,NNS
sprawling,JJ
speak-easy,NN
spoken,VBN
spinning,VBG
spiritually,RB
springfield's,NP+BEZ
specificity,NN
splattered,VBN
speck,NN
spread-out,JJ
spurned,VBD
spinach,NN
specters,NNS
spaceship,NN
speaking,VBG
spiegel,NNP
specialists,NNS
spacings,NNS
specify,VB
splendide,NP
splayed,VBD
spirited,JJ
splendidly,RB
spoiled,VBN
spurt,NN
sprue,NN
speakin',VBG
sp,NN
spectrum,NN
spelled,VBN
sportsmen,NNS
spectacle,NN
spada,NP
spell-binding,JJ
spade,NN
speakers,NNS
spin-off,NN
speculative,JJ
sprinkled,VBD
spinley's,NP$
specks,NNS
spring-back,JJ
spangled,JJ-TL
spewing,VBG
sponsored,VBN
sport-king,NP
spleen,NN
spend,VBP
spiralis,NP
spaced,VBN
spangle,NN
speedup,NN-TL
spacer,NN
spaces,NNS
spindle,NN
spurring,VBG
sparky,NP
specifically,RB
spite,NN
spineless,JJ
sparks,NNS
spirituality,NN
spontaneity,NN
speer,NP
spun,VBN
spirit-gum,NN
sprouting,VBG
sparrow's,NN$
spraying,VBG
speckles,NNS
spewings,NNS
spur,VB
spegititgninino,NP-TL
spikes,NNS
spilling,NN
speared,VBD
spice-laden,JJ
spokewoman,NN
spiked,VBN
spotted,VBD
splotched,VBN
spofford,NP
spinoff,NN
splotches,NNS
spattered,VBN
sport,NN
speechlessness,NN
spokeswoman,NN
spine-chilling,JJ
spirits,NNS
spectrophotometric,JJ
sponsorship,NN
spirito,NP
spectrophotometer,NN
sparsely,RB
spares,VBZ
spartan,NP
split-bamboo,NN
spared,VBN
spray,NN
spare,VB
spoil,VB
spagna,FW-NP-TL
spark,VB
spillane,NNP
spitler,NNP
specious,JJ
sparring,VBG
spatter,NN
spurs,NNS
spear,NN
spelman,NP
spotting,VBG
spahnie,NP
spans,VBZ
springs,NNP
spielvogel,NNP
speak,VB
specializing,VBG
sponged,VBN
spotlights,VBZ
sputnik,NN-TL
sponges,NNS
spices,NNS
spoiling,VBG
sprite,NP
spit,VB
sportswriter,NN
spic,JJ
spills,VBZ
spin,VB
spirit,NN
spain,NNP
splits,NNS
sportiest,JJT
spontaneously,RB
speculator,NN
splenomegaly,NN
spotlight,NN
spooned,VBD
spanish-born,NP
sp-44002,NP
sp-44001,NP
sp-44006,NP
sp-44007,NP
speedway,NN
sp-44005,NP
sprained,VBN
spooked,VBN
spectrometric,JJ
specter,NN
specialization,NN
spheres,NNS
spiraling,VBG
speculating,VBG
speaker,NN
split,VBN
sportin',VBG
spume,NN
sprague's,NP$
springing,VBG
springtime,NN
spanned,VBN
spitting,VBG
sposato,NP
spree,NN
specialize,VB
spent,VBD
spoonful,NN
spectator,NN
spencer,NP
spherical,JJ
spurred,VBN
sprayed,VBD
sponsor's,NN$
sporting,VBG
spliced,VBN
speed,NN
spells,VBZ
sprang,VBD
spectacles,NNS
sparta,NP
spatiality,NN
speedily,RB
spread,VBN
sparking,VBG
spasms,NNS
sprinted,VBD
spot-promoted,VBN
spectacular,JJ
sportsmanship,NN
specimen,NN
spires,NNS
specie,FW-NN
spine,NN
spice-nice,NP
specific,JJ
splendor,NN
split-level,NN
specifies,VBZ
sparkles,VBZ
spot-news,NN
sparling,NP
spring,NN
spongy,JJ
sponge,NN-TL
specified,VBN
sprightly,JJ
sprint,NNP
spasm,NN
sprawl,NN
spillane's,NP$
spouting,VBG
sponsoring,VBG
speakership,NN-TL
sparse,JJ
sprung,VBN
spilled,VBD
spiller,NP
speaker's,NN$
spycket,NP-TL
spreading,VBG
sparing,VBG
spacesuit,NN
spores,NNS
sprawled,VBD
span,VB
spring-training,NN
spending,NN
splintered,VBN
spiral,NN
spots,NNS
spenglerian,JJ
springboard,NN
specimens,NNS
spat,VBD
spicy,JJ
splenetic,JJ
specialty,NN
spigots,NNS
sprinkling,VBG
spice,VB
space-time,NN
spectroscopy,NN
sparrow-size,NN
spends,VBZ
specially,RB
spokesmen,NNS
spatial,JJ
specimentalia,NN
spectators,NNS
spurns,VBZ
spectrally,RB
spreader,NN
spouse,NN
spence,NNP
spherules,NNS
sphinx,NP
sputniks,NNS
speculations,NNS
spahn's,NP$
