term,tag
state-supported,JJ
stained-glass,NN
sterilizing,VBG
steve,NNP
straws,NNS
stringently,RB
stinging,VBG
stallard,NP
strangers,NNS
stunned,JJ
steroid-induced,JJ
stinky,NP
stave,VB
stout's,NP$
student-loan,NN
sternberg,NNP
stable,JJ
stationery,NN
stabilizing,VBG
steeled,VBN
state-sponsored,JJ
staffing,VBG
strainin',VBG
staley,NP
stanton,NP-TL
string,VB
straightforward,JJ
stake-out,NN
startlingly,RB
stepanovich,NP
strafaci,NP
stays,VBZ
strictest,JJT
stabbed,VBN
strang,NP
strand,NN
staples,NNS
stodgy,JJ
stiff,JJ
stimulus,NN
strukturbericht,FW-NN-NC
steeply,RB
standards,NNS
strother,NNP
starbird,NP
stupefying,VBG
stockade,NN
steeple,NN
stratify,VB
stubs,NNS
steelmakers,NNS
stair-step,NN
st.-pol,NP
strickland,NP
strivings,NNS
streets,NNS
stiffens,VBZ
steaks,NNS
strung,VBN
street,NN
stamford,NNP
sterile,JJ
stickpin,NN
stealer,NN
strong-willed,JJ
stardom,NN
stood,VBD
stands,VBZ
styrenes,NNS
stool,NN
stramonium,NN
stoop,VB
steiner,NP
stepwise,RB
stooges,NPS
streetcars,NNS
stance,NN
stanch,JJ
stallion,NN
stared,VBD
stumbling-block,NN
state-appointed,JJ
studio,NN
stair-well,NN
stirrup,NN
stares,NNS
strong,JJ
stooooomp,VB
stresses,VBZ
strewn,VBN
stair,NN
stevie,NP
study,NN
stretching,VBG
stipulates,VBZ
staunchly,RB
storefront,NN
stone-still,JJ
stella,NP
stomachs,NNS
street's,NN$-TL
stockroom,NN
stiffness,NN
stressed,VBN
sturbridge,NP-TL
studies,NNS
stalin's,NP$
stubbed,VBN
sticking,VBG
stained,VBD
stonestown,NP
stray,JJ
statewide,JJ
straw,NN
strolling,VBG
stuffing,VBG
strap,NN
steele's,NP$
stram,NP
stings,NNS
stern,NNP
starlight,NN
staple,NN
stingy,JJ
staminate,JJ
standing,NN
strapped,VBN
streetcar,NN
storekeepers,NNS
stream-of-consciousness,NN
strauss,NP-TL
statistique,FW-JJ-TL
statesmanship,NN
storeria,NP
strike,VB
stalingr,NP
stanislas',NP$
stirups,NNS
standardized,JJ
stolidly,RB
stylistic,JJ
started,VBN
statutes,NNS
stephens,NNP
stans,NP
stressing,VBG
steadfastly,RB
stethoscope,NN
stick,VB
stochastic,JJ
straight-haired,JJ
striving,VBG
stain,VB
starter,NN
stafford,NP
standin',VBG
stationmaster,NN
stettin,NP
stone-gray,JJ
stubblefields,NPS
strategically,RB
statuto,FW-NN-TL
streptococcus,NP
stenton,NP
stabilizes,VBZ
stature,NN
strategies,NNS
stendler,NP
stimulating,VBG
stoll,NNP
streak,NN
stubborn,JJ
streamed,VBD
stream,NN
stated,VBD
stacking,VBG
stetson,NP
stallings,NP
staten,NP-TL
stanhope,NP
states,NNS
stroke,NN
stupidities,NNS
streamer,NN
stockbroker,NN
steward,NN
stole,VBD
still-dark,JJ
stemmed,VBD
stadiums,NNS
staunton,NP-TL
stripe,NN
statisticians,NNS
struggles,VBZ
stayed,VBD
stills,NNS
strikingly,RB
standstill,NN
stupidity,NN
stemming,VBG
stanislas,NP
strong-made,JJ
strays,NNS
stock,NN
staying,VBG
stammered,VBD
staircase,NN
strokes,NNS
stravinsky,NP
steadily,RB
stainless,JJ
stidger,NP
stipulate,VB
strategists,NNS
statuary,NN
student-directed,JJ
stimulates,VBZ-NC
stronghold,NN
stress,NN
stalins,NPS
stupidly,RB
steinhager,NP
straps,NNS
strutting,VBG
stannard,NP
stevedore,NN
strippers,NNS
standard-times,NP-TL
stocky,JJ
staining,NN
stamped,VBD
stratagem,NN
stains,NNS
steel's,NN$-TL
staginess,NN
stumpy,JJ
stoicism,NN
stewardship,NN
stability,NN
strove,VBD
sturch,NP
statistical,JJ
stockpiles,NNS
still-building,JJ
still,RB
stock-index,JJ
stepmother,NN
style,NN
startled-horse,NN
stevens,NNP
state's,NN$
stopover,NN
step-cone,NN
stances,NNS
straggled,VBD
stalled,VBD
strafe,FW-VB
stephen,NNP
stalemate,NN
sterility,NN
stabilities,NNS
stavropoulos',NP$
sterios,FW-JJ-NC
stabilizers,NNS
sterilization,NN
state-law,NN
steiners,NPS-NC
stout,JJ
stoneware,NN
steprelationship,NN
struggling,VBG
strive,VB
stewed,VBN
stunts,NNS
stopper,NN
sternum,NN
stabilize,VB
stir,VB
strayed,VBD
stragglers,NNS
stiles,NP
stratford's,NP$
steelworkers,NNP
streamside,NN
stopped,VBN
stockholm,NNP
strangers',NNS$
strode,VBD
status,NN
stalling,VBG
stressful,JJ
stonehenge,NP-TL
stern-to,RB
strip,VB
staff's,NN$
stronger,JJR
stubblefield,NP
static,JJ
stepmothers,NNS
stewardesses,NNS
strychnine,NN
steadier,JJR
stimulants,NNS
steered,VBD
stitch,NN
stringed,VBN
stanbury,NP
stock's,NN$
stub,NN
stockgrowers',NNS$-TL
stupid,JJ
stud,NN
stage-plays,NNS
stanley's,NP$
stitches,NNS
strindberg's,NP$
stunningly,RB
stare,VBP
stewards,NNS
stews,NNS
state,NNP
stieglitz,NNP
stepped-up,JJ
strata,NNS
standard,NNP
struggle,NN
stealin',VBG
straightened,VBN
stairwells,NNS
stengel's,NP$
steering,VBG
staiger,NP
stearns,NPS
standby,NN
starts,VBZ
stampede,NN
start-up,NN
stillbirths,NNS
steroids,NNS
stride,NN
stabilizing-conserving,JJ
stamping,VBG
stickler,NN
stalinist,NP
strapping,JJ
stimulate,VB
stench,NN
stewart,NNP
staggered,VBD
student,NN
stabs,NNS
striking,JJ
strategic,JJ
straining,VBG
starkey,NP
stultifying,VBG
sternal,JJ
stork,NNP
story,NN
stocking,VBG
straight-out,JJ
strasbourg,NP-TL
start,NN
st.,NNP
structured,VBN
striding,VBG
stumpage,NN
stiffened,VBD
stimulation,NN
station,NN
stifled,VBN
stuffed,VBN
streetlight,NN
structural,JJ
stroked,VBN
steamily,QL
store,NN
station's,NN$
stomach,NN
statement,NN
state-supervised,JJ
stomack,NN
streaked,VBD
starr,NP
stylized,VBN
stanchest,JJT
straw-colored,JJ
stifle,VB
stairs,NNS
stirs,VBZ
stumping,VBG
steel,NN
states-yugoslav,NP-TL
sturley,NP
steed,NN
structures,NNS
stall,NN
stratified,VBN
stallion's,NN$
stale,JJ
steep,JJ
stimuli,NNS
steer,NN
student-test,JJ
steelmaker,NN
strengthen,VB
stomping,VBG
state-local,JJ
stress-temperature,NN
stubbs,NP
stiff-backed,JJ
stratosphere,NN
stable-garage,NN
stigma,NN
straddled,VBD
staggeringly,RB
stolid,JJ
sterilized,VBN
strength,NN
studying,VBG
steamboat,NN
stram's,NP$
stearn,NNP
steinkerque,NP
strengths,NNS
strengtened,VBN
sterns,NNS
