term,tag
sunburnt,VBN
sunbonnet,NN
suburban,JJ
surreptitious,JJ
sunt,FW-BER
sun-baked,JJ
surgical,JJ
supt.,NN-TL
sung,VBN
subtly,RB
supposedly,RB
suicide,NN
subjected,VBN
suave,JJ
sufferer,NN
subsided,VBD
suits,NNS
superficially,RB
substantively,RB
sub-group,NN
subcontracting,VBG
suns,NNS-TL
suite,NN-TL
suffered,VBD
subtleties,NNS
surfactant,NN
sub-surface,JJ
sundials,NNS
summarized,VBN
subservient,JJ
surgeon,NN
succumbing,VBG
sun-browned,JJ
suzerain,NN
subpenas,NNS
super-imposed,VBN
super-experiment,NN
subsoil,NN
supine,JJ
supplement,NN
subway,NN
succession,NN
sultane,FW-NN-TL
sullying,VBG
summarizes,VBZ
surrounding,VBG
sulfide,NN
substituting,VBG
subordinate,JJ
subspecies,NNS
subaltern,NN
substitute,NN
subscripts,NNS
sue,VB
sub,FW-IN
sun-bleached,JJ
sum,NN
super-sets,NPS
supplied,VBN
sut,NP
suspect,VBP
sur,FW-IN-TL
succinct,JJ
sup,VB
supplier,NN
supplies,NNS
sullam,NP
succumb,VB
supporting,VBG
suable,JJ
sukarno,NP
sunspot,NN
superstition,NN
sublease,NN
suckers,NNS
supplying,VBG
sub-zero,NN
substance,NN
super-herculean,JJ
survivor,NN
suitably,RB
sun-times,NP
suggests,VBZ
supplements,NNS
survey,NN
summate,VB
suggestion,NN
submerged,VBN
suitable,JJ
suvorov's,NP$
suddenly,RB
sumter,NP-TL
suite's,NN$
summons,NN
surpluses,NNS
subverted,VBN
sufferers,NNS
suicides,NNS
summation,NN
surmount,VB
surfaceness,NN
super-city,NN
suspensions,NNS
super,JJ
substitutions,NNS
subsumed,VBN
subsidized,VBD
survive,VB
sun's,NN+BEZ
subsection,NN
suffocated,VBN
supporters,NNS
substances,NNS
successful,JJ
subsistence,NN
susan's,NP$
suffused,VBD
subsistent,JJ
subdued,VBN
suspensor,NN
survey-type,JJ
suction,NN
super-charged,JJ
supplemental,JJ
subscription,NN
sulkily,RB
superstructure,NN
suggestive,JJ
subtends,VBZ
superstitions,NNS
subgross,JJ
supercilious,JJ
summerdale,NP
subsidies,NNS
suggestions,NNS
superdome,NNP
supremacy,NN
surveyor,NN
sub-assembly,NN
suds,NNS
susie's,NP$
suggs,NP
subconsciously,RB
summers,NNS
subminimum,NN
summerspace,NP
surpassed,VBN
sunday,NNP
subdues,VBZ
subsidiaries,NNS
sucess,NN
supercomputer,NN
substructure,NN
subpenaed,VBN
superintend,VB
suppose,VB
superpremiums,NNS
such,JJ
suck,VB
summarization,NN
supersonic,JJ
succeeded,VBD
susan,NNP
sunshield,NN
summer\/winter,JJ
summing,VBG
supervision,NN
supermarkets,NNS
subdivisions,NNS
superbly,RB
supranational,JJ
substrates,NNS
sumner,NP
sub-interval,NN
subjectivity,NN
submachine,JJ
superimposing,VBG
subsections,NNS
sung-shan,NP
surrealist,JJ
surrealism,NN
sun-suit,NN
subpoenaed,VBN
suffer,VB
subversive,JJ
superior,JJ
supplemented,VBD
surtout,NN
supranationalism,NN
susceptible,JJ
surgeons,NNS-TL
subroutines,NNS
survivors,NNS
subsurface,JJ
supernaturalism,NN
suspicion,NN
suspension,NN
subparagraph,NN
subtlety,NN
sucking,VBG
subtitled,VBN
super-protein,NP
