term,tag
switched,VBD
swamped,VBD
swelling,VBG
swerving,VBG
switch-hitter,NN
swells,NNS
swearingen,NNP
swears,VBZ
swollen-looking,JJ
sweeneys,NPS
swahili,NP
swank,JJ
swimmers,NNS
swao,NN
swan,NN-TL
sweetest,JJT
sweat-suits,NNS
sweet-shrub,NN
sweltering,VBG
swap,NN
sweathruna,FW-NN-NC
swellings,NNS
swans,NNS
sway,NN
swim,VBP
swivel,NN
sweet-smelling,JJ
swig,NN
sweetened,VBN
swallows,NNS
sweets,NNS
swirl,NN
sweet-clover,NN
swiftest,JJT
sweeping,JJ
switches,NNS
sweazey,NP
swathings,NNS
swapping,VBG
swaying,VBG
swamping,VBG
swiftness,NN
swirling,VBG
switzerland,NNP
swooped,VBD
swiss-born,JJ
swept,VBD
switchblade,NN
sweepings,NNS
sweatshirt,NN
swimsuit,NN
sweet-tongued,JJ
swampy,JJ
swaps,NNS
sweetly,RB
sweepingly,RB
swamps,NNS
sweetheart-secretary,NN
sweaty,JJ
swapped,VBN
swam,VBD
sweepstakes,NN
swartz,NP-TL
sweaters,NNS
sweeney,NP
sweetpeas,NNS
sweet-sounding,JJ
swinburne,NP
swirled,VBD
swift,NN
swaggered,VBD
swoops,NNS
swarms,NNS
swart,JJ
swear,VB
sweat,NN
swing,NN
swiping,VBG
swallow,VB
sweetness,NN
sweater,NN
swimming,VBG
swearing,VBG
swallow-barn,NP
swaggering,VBG
swadesh,NP
sweet,JJ
sweep,NN
sway-backed,JJ
switzer,NP
swum,VBN
sweet-faced,JJ
swallowed,VBD
sweating,VBG
swings,NNS
sweet-sour,JJ
swingy,JJ
swc,NN
swipe,NN
swabbed,VBD
swarm,NN
swanlike,JJ
sweated,VBD
swoop,NN
sweetheart,NN
swarmed,VBD
sweden's,NP$
sweatband,NN
sweet-throated,JJ
switchboard,NN
swindling,VBG
swooping,VBG
swastika,NN
swindled,VBD
swiped,VBD
sweeten,VB
swedes,NPS
swami,NN
sweden,NNP
swearing-in,NN
sweeter,JJR
swift-footed,JJ
swerve,NN
swanky,JJ
swinging,VBG
swung,VBD
sweetish,JJ
swedish,JJ
swished,VBD
swords,NNS
swearinge,NN
switchgear,NN-TL
swift's,NP$
swallowing,VBG
swath,NN
swarthy,JJ
sword,NN
swore,VBD
swivels,VBZ
sworde,NN
swelled,VBD
sworn,VBN
switching,VBG
swine,NNS
sweethearts,NNS
swadesh's,NP$
swayed,VBD
sweatshirts,NNS
swell,JJ
swiftly,RB
swingin',VBG
swimmers',NNS$
sweat-soaked,JJ
sweat-saturated,JJ
swathed,VBN
swatches,NNS
sw,NN
swerved,VBD
swamp,NN
switch,NN
swift-striding,JJ
swollen,VBN
swiss,JJ
swarming,VBG
