term,tag
taxi,NN
takin,VBG
tagged,VBN
tallahassee,NP
taurida,NP
tallow,NN
tapping,VBG
tablespoonful,NN
taizo,NNP
tarry,VB
tapdance,NN
tacked,VBN
talky,JJ
tansy,NN
tactlessness,NN
talks,NNS
taxied,VBD
taiwan,NNP
talkative,JJ
takashima,NNP
tattle-tale,NN
tassinari,NNP
tables,NNS
taps,NNS
tax-freedom,NN
taxpayer,NN
tantalizingly,RB
taboos,NNS
tariff,NN
tahse,NP
tablet,NN
tack-solder,VB
talcott,NNP
tactual,JJ
talismanic,JJ
tail,NN
tabit,NP
tape,NN
tagging,VBG
tawny,JJ
taurog,NP
taunting,VBG
tabac,NN
takeover-stock,JJ
takuma,NNP
tatras,NPS
tariff-free,JJ
tame,JJ
taunt,NN
tailors,NNP
tailin',NN
target's,NN$
taccetta,NNP
tarzan,NP
tailor,NN
tantalizing,VBG
tanks,NNS
tank,NN
tarpon,NN
target,NN
tallchief,NP
taylors,NPS
taxicab,NN
tapering,VBG
taittinger,NNP
tampering,VBG
tabellen,FW-NNS-TL
taxes,NNS
tax-exempt,JJ
taxpayers,NNS
tablespoons,NNS
tacloban,NP
tanny,NP
taverns,NNS
tarrant,NP
talk-aboutiveness,NN
taxed,VBN
tauntingly,RB
taos,NP
tax-avoidance,NN
tappan,NP
talked,VBN
tall-masted,JJ
tacitus,NP
tack,NN
table's,NN$
targo,NP
taught,VBD
talker,NN
takeoff,NN
tarpaulin,NN
taras-tchaikovsky,NP
targets,VBZ
tabulate,VB
tactile,JJ
taunted,VBN
tabloid,JJ
tailback,NN
tactful,JJ
tab-lifter,NN
tall-growing,JJ
tales,NNS
tags,NNS
tax-paying,JJ
tableland,NN
tabernacle,NN-TL
taming,VBG
tantamount,JJ
tailor-made,JJ
tarantara,UH
tainted,VBN
talbott's,NP$
tablespoon,NN
tartary,NP
tasti-freeze,NP
tangible,JJ
tactically,RB
tar,NN
tardily,RB
tankers,NNS
tartar,NP
takeshi,NNP
tasteless,JJ
taxing,VBG
targeted,VBN
tact,NN
tall-tale,NN
tanin,FW-NNS
tacit,JJ
takeover,NN
tangent,JJ
tallahoosa,NP-TL
takin',VBG
tarheelia,NP
taliesin,NP
taboo,NN
taxis,NNS
tailor-make,VB
table-top,NN
tantrum,NN
tanker,NP
talent,NN
talented,JJ
tapes,NNS
taper,VB
taking,VBG
tasting,VBG
tabernacles,NNS
table-tennis,NN
target-hunting,JJ
tamiris-daniel,NP-TL
tangled,VBD
targeting,VBG
tactical,JJ
taoists,NPS
tarred,VBN
tannin,NN
taras,NP
taipei,NNP
tavern,NN
tax-free,JJ
tasks,NNS
tablecloths,NNS
tappets,NNS
tailgate,NN
taoist,JJ
taney's,NP$
tassels,NNS
taffy,NN
tannenbaum,NP
table,NN
tangle,NN
taut-nerved,JJ
tareytown,NP-TL
talleyrand,NP
tabloids,NNS
taxiing,VBG
tadpoles,NNS
takes,VBZ
taussig,NP
tardiness,NN
tar-soaked,JJ
taller,JJR
tatian,NP
tarwhine,NNP
tawney,NP
tango,NN
tabulated,VBN
taxi-ways,NNS
tanked,VBN
tahoe,NP
tawdry,JJ
taken,VBN
tangos,NNS
tamp,VB
tails,NNS
tangency,NN
taraday,NP
tangents,NNS
tandy,NNP
tartly,RB
taffeta,NN
talk-show,NN
taxation,NN
tally,NN
taskmaster,NN
tate,NP-TL
tangy,JJ
talents,NNS
tandem,NN
taruffi,NP
tapley,NP
tattered,VBN
taxable,JJ
tacitly,RB
tasmania,NP
takeing,NN
tapestries,NNS
tacking,VBG
tartarughe,NP
tactics,NNS
take-off,NN
taunts,NNS
tang,NN
taui,NP
tackles,NNS
tatler,NP-TL
tablespoonfuls,NNS
tam-o'-shanter,NN
taut,JJ
taffycolored,JJ
tasty,JJ
tamiris',NP$
tarkington,NP
tapered,VBN
tattooed,VBN
tangential,JJ
tat,VB
tau,NP
taylor,NNP
tap,NN
tasted,VBD
taxpayers',NNS$
taste,NN
tanganika,NP
tangibly,QL
tahiti,NP
tax,NN
tad,NN
talking,VBG
tastes,VBZ
tag,NN
tantrums,NNS
tarnished,VBN
tab,NN
tawes,NP
tabb,NP
tan,JJ
tao,NP
tai,NP-TL
tapestry,NN
take-up,JJ
talmud,NP
talkin',VBG
taoism,NP
taped,VBN
tamper,VB
tara,NP-TL
tabulation,NN
tappet,NN
tableau,NN
tablets,NNS
target-language,NN
takings,NNS
take,VB
tactic,NN
talons,NNS
tambourine,NN
tarpaulins,NNS
tapped,VBD
tardy,JJ
taxpayer's,NN$
tart,NN
tamale,NN
tax-exemption,NN
tapis,NN
taylor's,NP$
tasteful,JJ
tartuffe,NP
tallies,NNS
tahse's,NP$
takeoffs,NNS
tax-aided,JJ
taurus,NNP
tabulations,NNS
tangere,FW-VB
tactually,RB
tannhaeuser,NP-TL
tasso,NP
tackle,VB
tammany,NP
taft-hartley,NP
tailored,VBN
task,NN
tailin's,NNS-NC
taxpaying,JJ
tanner,NP
tagua,NN
tache,NNP
taint,NN
tallyho,NN
tailoring,VBG
tale,NN
taft,NP
tarpapered,VBN
tatsunori,NNP
tall,JJ
tass,NN
tanned,VBN
tabula,FW-NN
talk,NN
taksim,NP-TL
