term,tag
trenton,NP
trustco,NNP
tribunals,NNS
tripartite,JJ
transversally,RB
trolley,NN
trampling,NN
tr,NN
tradesmen,NNS
trousers,NNS
transducers,NNS
tradition-minded,JJ
translations,NNS
trettien,NNP
trough,NN
tris,NP
trouble,NN
traficant,NNP
treating,VBG
trespass,VBP
transmission,NN
try,VBP
trespasses,NNS
trudeau,NNP
trohan,NP
trite,JJ
triumph,NN
transgressed,VBD
trichinella,NP
trend,NN
trails,NNS
tricolor,NN
translating,VBG
transvestitism,NN
traveling,VBG
trapping,VBG
transplanted,VBN
transforms,VBZ
trinket,NN
traineeships,NNS
tribute,NN
troyes,NP
transportation,NN
traders',NNS$
trekked,VBD
tracks,VBZ
travelin',VBG
trunk,NN
tremor,NN
tractarians,NPS
tragedy,NN
trustees',NNS$-TL
trenchermen,NNS
tropics,NNS
trackdown,NP
trinidad,NP
trial,NN
tranquilizers,NNS
triad,NN
tropho-,JJ
tragedians,NNS
triple-tank,NN
truism,NN
transit,NN
trachea,NN
trianon,NP-TL
tracking,VBG
trousers-pockets,NNS
trained,VBN
traversing,VBG
transplant,NNP
troops,NNS
tracings,NNS
transplants,NNS
transferor's,NN$
tryin,VBG
travesty,VB
transversus,NN
transience,NN
trait,NN
traceable,JJ
tri-state,JJ-TL
trail,VB
train,NNP
transfusions,NNS
tribunal,NN
transmissible,JJ
tremendously,RB
tropidoclonion,NN
tri-iodothyronine,NN
transparency,NN
tracing,VBG
trans,NNP
transcend,VB
trump,NNP
transpired,VBN
transferral,NN
truth-revealing,JJ
trumpet,NN
truckdriver,NN
trill,NN
travel,NN
trophies,NNS
traders,NNS
transfers,NNS
trollop,NN
truthful,JJ
tried,VBD
transforming,VBG
trustee's,NN$
treatments,NNS
triumphs,NNS
tries,VBZ
trickling,VBG
tramway,NN
trapdoors,NNS
trifling,VBG
transposed,VBN
trickle,NN
truck's,NN$
transcultural,JJ
trembling,VBG
trellises,NNS
truck,NNP
treasury's,NN$-TL
truce,NN
trichloroacetic,JJ
triton,NNP
tripolyphosphate,NN
trans-atlantic,JJ
trevelyan,NP
tricked,VBN
trade,NNP
transferor,NN
trifle,NN
trend-following,JJ
trempler,NP
troubles,NNS
treece,NP
trager,NP
troubleshooter,NN
travelling,VBG
troubled,JJ
trail-worn,JJ
truest,JJT
trenchant,JJ
trevelyan's,NP$
transparent,JJ
transmitter,NN
trucks,NNS
trimmer,NP
trailed,VBD
traced,VBD
truths,NNS
trans-lingually,RB
transplanting,VBG
trimmed,VBN
transmitted,VBN
trap,NN
truth,NN
tray,NNP
trailer,NNP
transcribe,VBP
treacherous,JJ
trimble,NP
treasonable,JJ
trading,NN
tragicomic,JJ
transitions,NNS
truant,JJ
travels,NNS-TL
