term,tag
voluble,JJ
volts,NNS
voltage,NN
volta,NP
voids,VBZ
votes,NNS
voter,NN
voiceless,JJ
vomica,NN
vowel-length,NN-TL
voltmeter,NN
vociferous,JJ
void,JJ
vowels,NNS
vouchers,NNS
voltaire's,NP$
vocalic,JJ
volatility,NN
voyageurs,FW-NNS
vortex,NN
vouillemont,NP
volcano,NN
voluntarily,RB
vouchsafes,VBZ
vogue,NN
volcanos,NNS
vonnegut's,NP$
vociferously,RB
volley-ball,NN
vocalists,NNS
voyage,NN
vocation,NN
voluntary,JJ
voume,NN
volatile,JJ
volare,NP
volkenstein,NP
volker,NP
voluptuous,JJ
vows,VBZ
voltages,NNS
vomiting,VBG
voiture,NP-TL
volunteering,VBG
vouching,VBG
vociferousness,NN
vocationally,RB
volley,NN
volumetrically,RB
volksgeist,FW-NN
volcanic,JJ
vote,VB
volunteered,VBN
vocalize,VB
vose,NNP
votive,JJ
volumetric,JJ
volstead,NP-TL
voted,VBD
vous,FW-PPSS
volta's,NP$
vopos,FW-NNS
vol.,NN-TL
vowing,VBG
volume,NN
volunteer,NN
volatilization,NN
vocabularies,NNS
vocal,JJ
voluminous,JJ
vocals,NNS
voice,NN
voa,NNP
voters,NNS
vom,NP
von,NP
vos,NNP
voices,NNS
vow,NN
voluntary-control,NN
voroshilov,NP
voiced,VBD
volition,NN
voegelin,NP
vocational-advancement,NN
voltaire,NP
vocational,JJ
voltaic,JJ
voyager,NN
voyages,NNS
voorhees,NP
vocalism,NN
voice's,NN$
vocabulary,NN
voraciously,RB
vocalization,NN
volens,FW-VBG
vowel,NN
vocalist,NN
vowed,VBD
voting,NN
volney,NP
voce,FW-NN
volleyball,NN
vocabularianism,NN-TL
volumes,NNS
volkswagens,NPS
voodoo,NN
vocally,RB
volunteers,NNS
voulez,FW-VB
