term,tag
ward's,NP$
wakeful,JJ
wakened,VBN
wanton,JJ
wage-rates,NNS
watchmen,NNS
waertsilae,NNP
waiters,NNS
waal's,NP$
wavers,NNS
washington-oregon,NP
wave,NN
wavy,JJ
wash.,NNP
washboard,NN
waveland,NP
wagons,NNS
watterson,NP
wave-travel,NN
washing,VBG
waldo,NP
water-proof,JJ
watered,VBN
waxworks,NNS-TL
warehouseman's,NN$
warns,VBZ
waking,VBG
warrenton,NNP
wattles,NNS
waning,VBG
walkout,NN
warmongering,JJ
wage-price,NN
wail,NN
waif,NN
water,NN
waymar,NNP
waterflows,NNS
wait,VB
water-authority,NN
watchers,NNS
warless,JJ
warehousing,NN
washbowl,NN
wallingford,NP
wave-particle,NN
watering,VBG
wackers',NPS$
water-holding,JJ
waxen,JJ
wary,JJ
waxed,VBD
waterways,NNS
wars,NNS
warp,NN
warn,VBP
warm,JJ
ward,VB
ware,NN
walled,VBN
warily,RB
wallet,NN
waco,NP
wails,NNS
wand,NN
walkways,NNS
washington-alexandria,NP-TL
walsh,NP
want,VB
wardroom,NN
war-time,NN
wares,NNS
walbridge,NP
wash-up,NN
wallpapers,NNS
watery,JJ
waters,NNS
wallpaper,NN
wall-flowers,NNS
waver,VB
waves,NNS
waterfront,NN
wagging,VBG
watling,NP-TL
waist,NN
wanderings,NNS
waited,VBD
waspishly,RB
warranty,NN
wavelengths,NNS
warhead,NN
wall-tex,NP
wagner's,NP$
warred,VBD
warfront,NN
warren,NNP
wallace,NP
watson's,NP$
wallach,NNP
walnut,NN
watchdogs,NNS
wales,NP
warrants,NNS
war-damaged,JJ
walle,NP
washington,NNP
waged,VBN
warranted,VBD
walls,NNS
wally,NP
watch-spring,NN
wagon,NN
wallowing,VBG
warned,VBD
warner,NNP
waved,VBD
wacky,JJ
wade,VB
wavelength,NN
wangled,VBD
wander,VB
wager,VB
watanabe,NNP
waive,VB
washed,VBD
wakefulness,NN
wadded,VBD
washer,NN
washes,NNS
water's,NN$
washington's,NP$
wall-stabilized,JJ
walnuts,NNS
warm-up,NN
wanted,VBD
warmhearted,JJ
waxy,JJ
washington-based,JJ
waterloo,NNP
wagged,VBD
waiter,NN
watercolorist,NN
wanderers,NNS
wamre,NNP
war-rationed,JJ
wallboard,NN
waitress,NN
warys,NNS
wasp,NN
wakening,VBG
wage-earning,JJ
walkers,NPS
wash,VB
warped,VBN
warty,JJ
wages,NNS
warships,NNS
warts,NNS
waned,VBD
waymouth,NP
wanderjahr,FW-NN
watchmaker,NN
wage-rate,NN
warmly,RB
warmish,JJ
water-ski,NN
wastes,NNS
wardrobe,NN
washizu,NP
war-dirty,JJ
warfare,NN
warmup,NN
walloped,VBD
warm-toned,JJ
wailbri,NP
wastage,NN
wandering,VBG
wakes,VBZ
waked,VBD
wallowed,VBD
wafa,NNP
wave-setting,JJ
warsaw,NNP
wanderer,NN
warriors,NNS
waffles,NNS
wandered,VBD
wangemans,NPS
wanting,VBG
waitin,VBG
waist-length,JJ
warnings,NNS
watt,NN
wappinger,NP-TL
waldorf-astoria,NP-TL
wacker,NP
waggin,NP
war-ridden,JJ
walking,VBG
walk-up,NN
water-washed,NN
wailing,VBG
wayside,NN
wasted,VBN
waggled,VBD
way-out,JJ
waiting,VBG
wacklin,NP
wayne,NNP
waylaid,VBN
walkin',VBG
waltz,NN
watching,VBG
watch,VBP
wardens,NNS
warm-blooded,JJ
watercolor,NN-TL
