term,tag
wheeland,NNP
whitfield,NP
whiting,NNP
whoever,WPS
white-suited,JJ
whizzing,VBG
wholesaler,NN
white-topped,JJ
wherewith,WRB
whinny,NN
whose,WP$
whereon,WRB
whereever,WRB
whitehead's,NP$
whereof,WRB
what'd,WDT+DOD
whitcomb,NP
whitemarsh,NP
whiteley,NP
whirring,VBG
whatsoever,WPS
whips,NNS
whack,NN
whirlpool,NP-TL
wharves,NNS
white-dominated,JJ
who's,WPS+BEZ
wharton,NP
whispers,NNS
whichever,WDT
whiteman,NP
whitman's,NP$
whopping,JJ
who'd,WPS+HVD
whole-house,NN
wheezes,NNS
when-issued,JJ
whitman,NP
whooping,VBG
whitening,VBG
wholly-owned,JJ
wheare,WRB
wheezed,VBD
what-nots,NNS
whelen,NNP
wheeling,VBG
where,WRB
whirlwind,NN-TL
what's-his-name,NN
whim,NN
whosoever,WPS
whole-wheat,NN
whigs,NPS
whiplash,NN
whiz,NN
whined,VBD
whit,NN
whir,NN
whip,NNP
wheedled,VBN
what,WP
whining,VBG
whaling,VBG
whaddya,WDT+DO+PPS
white-collar,JJ
whoosh,UH
whippet,NP
wholly,RB
whereabouts,NN
wholeheartedly,RB
white-shirted,JJ
whole-heartedly,RB
whirled,VBD
wheels,NNS
whipped,VBD
whitrow,NP
whispered,VBN
whodunnit,NN
wheat,NN
whiteleaf,NP
whitehall,NP
whiteness,NN
whereupon,CS
whisperings,NNS
wheelan's,NP$
whittier,NP
whipping-boys,NNS
whipple,NP
whas,NNP
whichever-the-hell,WDT
wherefores,NNS
whine,NN
whistled,VBD
whitetail,NN
whence,WRB
whoppers,NNS
white's,NP$
whole,JJ
whittaker,NP
whimsical,JJ
whitey,NP
what-will-t.,NIL
whites,NNS
whipple's,NP$
whitely,RB
whatever,WDT
whoop,NN
whitehaired,JJ
whispering,VBG
wheat-germ,NN
whatman,NP
whip's,NN$
whims,NNS
whipping,JJ
whipsaw,VB
wholeness,NN
whom,WP
whinnied,VBD
wheezing,VBG
whig,NP
whole-word,NN
whoe,WPS
white,NNP
whoa,UH
whiteface,NN
whorls,NNS
what're,WDT+BER
white-stucco,NN
what's,WDT+BEZ
wheeler,NP
whirling,JJ
whiplashes,NNS
whitney,NP-TL
who'll,WPS+MD
wheeled,VBD
wholes,NNS
whisky,NN
wherewithal,JJ
whipsnade,NP
whether,IN
wholesale,NN
wheelock,NP
wheel-loader,JJ
whisked,VBD
wherefore,WRB
whiff,NN
where're,WRB+BER
whiskey,NN
while,IN
wheeler's,NP$
whelan,NP
wharf,NP
whimpering,VBG
whitewashed,VBN
whisper,VB
whitens,VBZ
whizzed,VBD
whyn't,WRB+DOD*
whimper,VB
wholesalers,NNS
white-columned,JJ
whiskered,JJ
whore,NN
whitehead,NP
whirl,VB
wholesome,JJ
whee,UH
why'n,WRB+IN
whereas,IN
when,WRB
wheaton,NP
wherein,WRB
wher,WRB
white-clad,JJ
which,WDT
whitened,VBD
wheelock's,NP$
whosever,WP$
wheel,NN-TL
whipsawed,VBN
whacked,VBD
where'd,WRB+DOD
wholewheat,NN
who,WP
whiskers,NNS
whistling,VBG
whah,WRB
where's,WRB+BEZ
whisky-on-the-rocks,NN
whittier's,NP$
why,WRB
whyfores,NNS
whores,NNS
whereby,WRB
whistle,VBP
whenever,WRB
whetted,VBN
whisking,VBG
wherever,WRB
whirlwind's,NN$-TL
whimsey,NP
