term,tag
wrigley,NP
writings,NNS
wraith-like,JJ
wrest,VB
wrought-iron,NN
wreath,NN
wrestling,VBG
wrenches,NNS
wrathful,JJ
wrenched,VBD
wrestle,VB
wrack,NN
wrestler's,NN$
write-downs,NNS
wrap,VB
wry-faced,JJ
wrought,VBD
wrongly,RB
wrongs,NNS
wraps,NNS
writer's,NN$
wrath,NN
wrecking,VBG
wreck,NN
wracking,VBG
wronged,VBN
writes,VBZ
writer,NN
wreak,VB
wrapper,NN
writing,NN
write,VB
wright,NNP
written,VBN
writers,NNPS
wrong-headed,JJ
wrongdoing,NN
write-off,NN
wrapped,VBN
wrangled,VBD
wretchedness,NN
wristwatch,NN
wright's,NP$
wrings,VBZ
wry,JJ
wrappers,NNS
wretched,JJ
writhed,VBD
wrestlings,NNS
wracked,VBN
wrongdoer,NN
wrappin',VBG
writhe,VB
wrapping,NN
wrong-o,NN
writers',NNS$
wrong,JJ
wrist,NN
wrists,NNS
wratten,NP-TL
wrinkle,NN
wring,VB
wretch,NN
writer-turned-painter,NN
wrangler,NN-TL
writs,NNS
writhing,VBG
wreathed,VBN
writ,NN
wrinkles,NNS
wrongful,JJ
wragge,NP
writing-like,JJ
wreaths,NNS
wryly,RB
wrestles,NNS
wrinkled,VBD
wrenching,JJ
wreckage,NN
wrecked,VBN
wrote,VBD
