term,tag
yachters,NNS
yale-army,NP
ya,PPSS
yachtsmen,NNS
yalagaloo,UH
yassuhs,NNS
yachts,NNS
yapping,VBG
yardumian,NP
yarrow,NP
yamamoto,NNP
yachtsman,NN
yanked,VBD
yankee,NP
yankee-hatred,NN
yawning,VBG
yasuda,NNP
yaks,NNS
yankees',NPS$-TL
yachtel,NN
yamata,NP
yaddo,NP
yardstick,NN
yasser,NNP
yamabe,NP
yalta,NP-TL
yaqui,NP
yanks,NPS
yarns,NNS
yankton,NP
yakima,NP
yaws,NNS
yardage,NN
yale's,NP$
yawn,NN
yanking,VBG
yawl,NN
yankeefication,NP-TL
yards,NNS
yamaichi,NNP
yachtels,NNS
yahwe,NP
yancey-6,NP
yakov,NP
yard,NN
yanks',NPS$
yachting,VBG
yacht,NN-TL
yarn,NN
yancy-6,NP
yang,NNP
yale,NNP
yank,NP
yalies,NPS
yankees,NPS
