term,tag
youngster's,NN$
yooee,UH
you'd,PPSS+MD
younguh,JJR
yourself,PRP
york-born,JJ
yoknapatawpha,NP-TL
yokel,NN
your,PRP$
yosemite,NP
yoneda,NP
you're,PPSS+BER
yore,NN
yorkers,NNPS
yonkers,NP
young's,NP$
yoga,NN
yogi,NP
young,NNP
yokosuka,NP
yonder,RB
yoshihashi,NNP
yongst,JJT
york-mind,JJ
youngster,NN
yow,PPSS
york-based,JJ
you,PRP
yok.,NP
yoshimoto's,NP$
younkers,NNP
yon,RB
york's,NP$-TL
youngsters,NNS
yoorick,NP
youngest,JJT
yoke,NN
york,NNP
yori,FW-NNS
yokels,NNS
yourselves,PPLS
yolk,NN
yodeling,VBG
yorker's,NP$
youngish,JJ
younger,JJR
you'uns,PPSS
you's,PPSS+BEZ
yokuts,NP
youths,NNP
yorktown,NP-TL
youth,NN
you'll,PPSS+MD
yodel,NN
yorker,NNP
york-pennsylvania,NP-TL
yours,PP$$
youthful,JJ
you've,PPSS+HV
